year,country,region,sub_region,iso_alpha,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
2019,Finland,Europe,Northern Europe,FIN,7.769,1.34,1.587,0.986,0.596,0.153,0.393
2019,Denmark,Europe,Northern Europe,DNK,7.6,1.383,1.573,0.996,0.592,0.252,0.41
2019,Norway,Europe,Northern Europe,NOR,7.554,1.488,1.582,1.028,0.603,0.271,0.341
2019,Iceland,Europe,Northern Europe,ISL,7.494,1.38,1.624,1.026,0.591,0.354,0.118
2019,Netherlands,Europe,Western Europe,NLD,7.488,1.396,1.522,0.999,0.557,0.322,0.298
2019,Switzerland,Europe,Western Europe,CHE,7.48,1.452,1.526,1.052,0.572,0.263,0.343
2019,Sweden,Europe,Northern Europe,SWE,7.343,1.387,1.487,1.009,0.574,0.267,0.373
2019,New Zealand,Oceania,Australia and New Zealand,NZL,7.307,1.303,1.557,1.026,0.585,0.33,0.38
2019,Canada,Americas,Northern America,CAN,7.278,1.365,1.505,1.039,0.584,0.285,0.308
2019,Austria,Europe,Western Europe,AUT,7.246,1.376,1.475,1.016,0.532,0.244,0.226
2019,Australia,Oceania,Australia and New Zealand,AUS,7.228,1.372,1.548,1.036,0.557,0.332,0.29
2019,Costa Rica,Americas,Latin America and the Caribbean,CRI,7.167,1.034,1.441,0.963,0.558,0.144,0.093
2019,Israel,Asia,Western Asia,ISR,7.139,1.276,1.455,1.029,0.371,0.261,0.082
2019,United Kingdom,Europe,Northern Europe,GBR,7.054,1.333,1.538,0.996,0.45,0.348,0.278
2019,Ireland,Europe,Northern Europe,IRL,7.021,1.499,1.553,0.999,0.516,0.298,0.31
2019,Germany,Europe,Western Europe,DEU,6.985,1.373,1.454,0.987,0.495,0.261,0.265
2019,Belgium,Europe,Western Europe,BEL,6.923,1.356,1.504,0.986,0.473,0.16,0.21
2019,United States,Americas,Northern America,USA,6.892,1.433,1.457,0.874,0.454,0.28,0.128
2019,United Arab Emirates,Asia,Western Asia,ARE,6.825,1.503,1.31,0.825,0.598,0.262,0.182
2019,Malta,Europe,Southern Europe,MLT,6.726,1.3,1.52,0.999,0.564,0.375,0.151
2019,Mexico,Americas,Latin America and the Caribbean,MEX,6.595,1.07,1.323,0.861,0.433,0.074,0.073
2019,France,Europe,Western Europe,FRA,6.592,1.324,1.472,1.045,0.436,0.111,0.183
2019,Chile,Americas,Latin America and the Caribbean,CHL,6.444,1.159,1.369,0.92,0.357,0.187,0.056
2019,Saudi Arabia,Asia,Western Asia,SAU,6.375,1.403,1.357,0.795,0.439,0.08,0.132
2019,Spain,Europe,Southern Europe,ESP,6.354,1.286,1.484,1.062,0.362,0.153,0.079
2019,Panama,Americas,Latin America and the Caribbean,PAN,6.321,1.149,1.442,0.91,0.516,0.109,0.054
2019,Brazil,Americas,Latin America and the Caribbean,BRA,6.3,1.004,1.439,0.802,0.39,0.099,0.086
2019,Uruguay,Americas,Latin America and the Caribbean,URY,6.293,1.124,1.465,0.891,0.523,0.127,0.15
2019,Singapore,Asia,South-eastern Asia,SGP,6.262,1.572,1.463,1.141,0.556,0.271,0.453
2019,El Salvador,Americas,Latin America and the Caribbean,SLV,6.253,0.794,1.242,0.789,0.43,0.093,0.074
2019,Italy,Europe,Southern Europe,ITA,6.223,1.294,1.488,1.039,0.231,0.158,0.03
2019,Bahrain,Asia,Western Asia,BHR,6.199,1.362,1.368,0.871,0.536,0.255,0.11
2019,Slovakia,Europe,Eastern Europe,SVK,6.198,1.246,1.504,0.881,0.334,0.121,0.014
2019,Poland,Europe,Eastern Europe,POL,6.182,1.206,1.438,0.884,0.483,0.117,0.05
2019,Uzbekistan,Asia,Central Asia,UZB,6.174,0.745,1.529,0.756,0.631,0.322,0.24
2019,Lithuania,Europe,Northern Europe,LTU,6.149,1.238,1.515,0.818,0.291,0.043,0.042
2019,Colombia,Americas,Latin America and the Caribbean,COL,6.125,0.985,1.41,0.841,0.47,0.099,0.034
2019,Slovenia,Europe,Southern Europe,SVN,6.118,1.258,1.523,0.953,0.564,0.144,0.057
2019,Nicaragua,Americas,Latin America and the Caribbean,NIC,6.105,0.694,1.325,0.835,0.435,0.2,0.127
2019,Argentina,Americas,Latin America and the Caribbean,ARG,6.086,1.092,1.432,0.881,0.471,0.066,0.05
2019,Romania,Europe,Eastern Europe,ROU,6.07,1.162,1.232,0.825,0.462,0.083,0.005
2019,Cyprus,Asia,Western Asia,CYP,6.046,1.263,1.223,1.042,0.406,0.19,0.041
2019,Ecuador,Americas,Latin America and the Caribbean,ECU,6.028,0.912,1.312,0.868,0.498,0.126,0.087
2019,Thailand,Asia,South-eastern Asia,THA,6.008,1.05,1.409,0.828,0.557,0.359,0.028
2019,Latvia,Europe,Northern Europe,LVA,5.94,1.187,1.465,0.812,0.264,0.075,0.064
2019,South Korea,Asia,Eastern Asia,PRK,5.895,1.301,1.219,1.036,0.159,0.175,0.056
2019,Estonia,Europe,Northern Europe,EST,5.893,1.237,1.528,0.874,0.495,0.103,0.161
2019,Jamaica,Americas,Latin America and the Caribbean,JAM,5.89,0.831,1.478,0.831,0.49,0.107,0.028
2019,Mauritius,Africa,Sub-Saharan Africa,MUS,5.888,1.12,1.402,0.798,0.498,0.215,0.06
2019,Japan,Asia,Eastern Asia,JPN,5.886,1.327,1.419,1.088,0.445,0.069,0.14
2019,Honduras,Americas,Latin America and the Caribbean,HND,5.86,0.642,1.236,0.828,0.507,0.246,0.078
2019,Kazakhstan,Asia,Central Asia,KAZ,5.809,1.173,1.508,0.729,0.41,0.146,0.096
2019,Bolivia,Americas,Latin America and the Caribbean,BOL,5.779,0.776,1.209,0.706,0.511,0.137,0.064
2019,Hungary,Europe,Eastern Europe,HUN,5.758,1.201,1.41,0.828,0.199,0.081,0.02
2019,Paraguay,Americas,Latin America and the Caribbean,PRY,5.743,0.855,1.475,0.777,0.514,0.184,0.08
2019,Peru,Americas,Latin America and the Caribbean,PER,5.697,0.96,1.274,0.854,0.455,0.083,0.027
2019,Portugal,Europe,Southern Europe,PRT,5.693,1.221,1.431,0.999,0.508,0.047,0.025
2019,Pakistan,Asia,Southern Asia,PAK,5.653,0.677,0.886,0.535,0.313,0.22,0.098
2019,Russia,Europe,Eastern Europe,RUS,5.648,1.183,1.452,0.726,0.334,0.082,0.031
2019,Philippines,Asia,South-eastern Asia,PHL,5.631,0.807,1.293,0.657,0.558,0.117,0.107
2019,Serbia,Europe,Southern Europe,SRB,5.603,1.004,1.383,0.854,0.282,0.137,0.039
2019,Moldova,Europe,Eastern Europe,MDA,5.529,0.685,1.328,0.739,0.245,0.181,0.0
2019,Montenegro,Europe,Southern Europe,MNE,5.523,1.051,1.361,0.871,0.197,0.142,0.08
2019,Tajikistan,Asia,Central Asia,TJK,5.467,0.493,1.098,0.718,0.389,0.23,0.144
2019,Croatia,Europe,Southern Europe,HRV,5.432,1.155,1.266,0.914,0.296,0.119,0.022
2019,Dominican Republic,Americas,Latin America and the Caribbean,DOM,5.425,1.015,1.401,0.779,0.497,0.113,0.101
2019,Malaysia,Asia,South-eastern Asia,MYS,5.339,1.221,1.171,0.828,0.508,0.26,0.024
2019,Greece,Europe,Southern Europe,GRC,5.287,1.181,1.156,0.999,0.067,0.0,0.034
2019,Mongolia,Asia,Eastern Asia,MNG,5.285,0.948,1.531,0.667,0.317,0.235,0.038
2019,Nigeria,Africa,Sub-Saharan Africa,NGA,5.265,0.696,1.111,0.245,0.426,0.215,0.041
2019,Kyrgyzstan,Asia,Central Asia,KGZ,5.261,0.551,1.438,0.723,0.508,0.3,0.023
2019,Algeria,Africa,Northern Africa,DZA,5.211,1.002,1.16,0.785,0.086,0.073,0.114
2019,Morocco,Africa,Northern Africa,MAR,5.208,0.801,0.782,0.782,0.418,0.036,0.076
2019,Lebanon,Asia,Western Asia,LBN,5.197,0.987,1.224,0.815,0.216,0.166,0.027
2019,Indonesia,Asia,South-eastern Asia,IDN,5.192,0.931,1.203,0.66,0.491,0.498,0.028
2019,China,Asia,Eastern Asia,CHN,5.191,1.029,1.125,0.893,0.521,0.058,0.1
2019,Vietnam,Asia,South-eastern Asia,VNM,5.175,0.741,1.346,0.851,0.543,0.147,0.073
2019,Cameroon,Africa,Sub-Saharan Africa,CMR,5.044,0.549,0.91,0.331,0.381,0.187,0.037
2019,Bulgaria,Europe,Eastern Europe,BGR,5.011,1.092,1.513,0.815,0.311,0.081,0.004
2019,Ghana,Africa,Sub-Saharan Africa,GHA,4.996,0.611,0.868,0.486,0.381,0.245,0.04
2019,Nepal,Asia,Southern Asia,NPL,4.913,0.446,1.226,0.677,0.439,0.285,0.089
2019,Jordan,Asia,Western Asia,JOR,4.906,0.837,1.225,0.815,0.383,0.11,0.13
2019,Benin,Africa,Sub-Saharan Africa,BEN,4.883,0.393,0.437,0.397,0.349,0.175,0.082
2019,Gabon,Africa,Sub-Saharan Africa,GAB,4.799,1.057,1.183,0.571,0.295,0.043,0.055
2019,South Africa,Africa,Sub-Saharan Africa,ZAF,4.722,0.96,1.351,0.469,0.389,0.13,0.055
2019,Albania,Europe,Southern Europe,ALB,4.719,0.947,0.848,0.874,0.383,0.178,0.027
2019,Venezuela,Americas,Latin America and the Caribbean,VEN,4.707,0.96,1.427,0.805,0.154,0.064,0.047
2019,Cambodia,Asia,South-eastern Asia,KHM,4.7,0.574,1.122,0.637,0.609,0.232,0.062
2019,Senegal,Africa,Sub-Saharan Africa,SEN,4.681,0.45,1.134,0.571,0.292,0.153,0.072
2019,Burkina Faso,Africa,Sub-Saharan Africa,BFA,4.587,0.331,1.056,0.38,0.255,0.177,0.113
2019,Armenia,Asia,Western Asia,ARM,4.559,0.85,1.055,0.815,0.283,0.095,0.064
2019,Iran,Asia,Southern Asia,IRN,4.548,1.1,0.842,0.785,0.305,0.27,0.125
2019,Guinea,Africa,Sub-Saharan Africa,GIN,4.534,0.38,0.829,0.375,0.332,0.207,0.086
2019,Georgia,Asia,Western Asia,GEO,4.519,0.886,0.666,0.752,0.346,0.043,0.164
2019,Kenya,Africa,Sub-Saharan Africa,KEN,4.509,0.512,0.983,0.581,0.431,0.372,0.053
2019,Tunisia,Africa,Northern Africa,TUN,4.461,0.921,1.0,0.815,0.167,0.059,0.055
2019,Bangladesh,Asia,Southern Asia,BGD,4.456,0.562,0.928,0.723,0.527,0.166,0.143
2019,Iraq,Asia,Western Asia,IRQ,4.437,1.043,0.98,0.574,0.241,0.148,0.089
2019,Mali,Africa,Sub-Saharan Africa,MLI,4.39,0.385,1.105,0.308,0.327,0.153,0.052
2019,Sierra Leone,Africa,Sub-Saharan Africa,SLE,4.374,0.268,0.841,0.242,0.309,0.252,0.045
2019,Sri Lanka,Asia,Southern Asia,LKA,4.366,0.949,1.265,0.831,0.47,0.244,0.047
2019,Myanmar,Asia,South-eastern Asia,MMR,4.36,0.71,1.181,0.555,0.525,0.566,0.172
2019,Ukraine,Europe,Eastern Europe,UKR,4.332,0.82,1.39,0.739,0.178,0.187,0.01
2019,Ethiopia,Africa,Sub-Saharan Africa,ETH,4.286,0.336,1.033,0.532,0.344,0.209,0.1
2019,Uganda,Africa,Sub-Saharan Africa,UGA,4.189,0.332,1.069,0.443,0.356,0.252,0.06
2019,Egypt,Africa,Northern Africa,EGY,4.166,0.913,1.039,0.644,0.241,0.076,0.067
2019,Zambia,Africa,Sub-Saharan Africa,ZMB,4.107,0.578,1.058,0.426,0.431,0.247,0.087
2019,Togo,Africa,Sub-Saharan Africa,TGO,4.085,0.275,0.572,0.41,0.293,0.177,0.085
2019,India,Asia,Southern Asia,IND,4.015,0.755,0.765,0.588,0.498,0.2,0.085
2019,Zimbabwe,Africa,Sub-Saharan Africa,ZWE,3.663,0.366,1.114,0.433,0.361,0.151,0.089
2019,Malawi,Africa,Sub-Saharan Africa,MWI,3.41,0.191,0.56,0.495,0.443,0.218,0.089
2019,Tanzania,Africa,Sub-Saharan Africa,TZA,3.231,0.476,0.885,0.499,0.417,0.276,0.147
2019,Afghanistan,Asia,Southern Asia,AFG,3.203,0.35,0.517,0.361,0.0,0.158,0.025
